"ID_CIDERH","TEMP_MEDIA_RBE","Anio","Mes","Dia"
"M_022_A_II",-1.0301956176757585,1985,9,14
"M_022_A_II",-1.8283981323241962,1985,9,15
"M_022_A_II",-2.2445739746093523,1985,9,16
"M_022_A_II",-0.10783996582028965,1985,9,17
"M_022_A_II",-0.6877044677734148,1985,9,18
"M_022_A_II",-0.7093414306640398,1985,9,19
"M_022_A_II",-1.8229888916015398,1985,9,20
"M_022_A_II",-1.1157058715820085,1985,9,21
"M_022_A_II",-1.6747802734374773,1985,9,22
"M_022_A_II",-2.3207077026366956,1985,9,23
"M_022_A_II",-2.9928344726562273,1985,9,24
"M_022_A_II",-3.3015121459960706,1985,9,25
"M_022_A_II",-4.438627624511696,1985,9,26
"M_022_A_II",-4.612982177734352,1985,9,27
"M_022_A_II",-4.8252700805663835,1985,9,28
"M_022_A_II",-3.5940307617187273,1985,9,29
"M_022_A_II",-3.4157012939452893,1985,9,30
"M_022_A_II",-1.4513610839843523,1985,10,1
"M_022_A_II",-1.8084243774413835,1985,10,2
"M_022_A_II",-1.2246002197265398,1985,10,3
"M_022_A_II",-1.6159118652343523,1985,10,4
"M_022_A_II",2.1007476806640852,1985,10,5
"M_022_A_II",1.5184112548828355,1985,10,6
"M_022_A_II",1.3871704101562727,1985,10,7
"M_022_A_II",0.16256866455080388,1985,10,8
"M_022_A_II",-0.3667358398437268,1985,10,9
"M_022_A_II",0.3200088500976791,1985,10,10
"M_022_A_II",-0.40261688232419557,1985,10,11
"M_022_A_II",-0.3445877075195083,1985,10,12
"M_022_A_II",0.12243804931642877,1985,10,13
"M_022_A_II",0.863496398925804,1985,10,14
"M_022_A_II",1.1335693359375227,1985,10,15
"M_022_A_II",1.0226531982422102,1985,10,16
"M_022_A_II",0.5718399047851789,1985,10,17
"M_022_A_II",-0.7736953735351337,1985,10,18
"M_022_A_II",-2.2465270996093523,1985,10,19
"M_022_A_II",-1.362425231933571,1985,10,20
"M_022_A_II",0.44066009521486627,1985,10,21
"M_022_A_II",-0.10969390869138351,1985,10,22
"M_022_A_II",-1.0605224609374773,1985,10,23
"M_022_A_II",-2.091154479980446,1985,10,24
"M_022_A_II",-1.3563217163085706,1985,10,25
"M_022_A_II",-1.051039123535133,1985,10,26
"M_022_A_II",-0.725889587402321,1985,10,27
"M_022_A_II",-0.41660919189450807,1985,10,28
"M_022_A_II",1.056916809082054,1985,10,29
"M_022_A_II",1.142915344238304,1985,10,30
"M_022_A_II",1.3711410522461165,1985,10,31
"M_022_A_II",2.0513473510742415,1985,11,1
"M_022_A_II",0.585481262207054,1985,11,2
"M_022_A_II",-1.4062637329101333,1985,11,3
"M_022_A_II",-0.46729125976560204,1985,11,4
"M_022_A_II",1.3668991088867417,1985,11,5
"M_022_A_II",3.1708312988281477,1985,11,6
"M_022_A_II",2.0937057495117415,1985,11,7
"M_022_A_II",2.504335021972679,1985,11,8
"M_022_A_II",2.6421142578125227,1985,11,9
"M_022_A_II",3.121949768066429,1985,11,10
"M_022_A_II",4.378213500976585,1985,11,11
"M_022_A_II",3.9303756713867415,1985,11,12
"M_022_A_II",3.0587402343750227,1985,11,13
"M_022_A_II",2.3618865966797102,1985,11,14
"M_022_A_II",4.8450485229492415,1985,11,15
"M_022_A_II",6.1837326049804915,1985,11,16
"M_022_A_II",5.268067932128929,1985,11,17
"M_022_A_II",5.051187133789085,1985,11,18
"M_022_A_II",4.271752929687523,1985,11,19
"M_022_A_II",4.137239074707054,1985,11,20
"M_022_A_II",3.1559082031250227,1985,11,21
"M_022_A_II",3.1493469238281477,1985,11,22
"M_022_A_II",3.1547714233398665,1985,11,23
"M_022_A_II",2.1808868408203352,1985,11,24
"M_022_A_II",0.5894332885742413,1985,11,25
"M_022_A_II",1.239663696289085,1985,11,26
"M_022_A_II",1.9504333496093977,1985,11,27
"M_022_A_II",3.607392883300804,1985,11,28
"M_022_A_II",3.997956848144554,1985,11,29
"M_022_A_II",2.9235397338867415,1985,11,30
"M_022_A_II",2.137513732910179,1985,12,1
"M_022_A_II",2.322053527832054,1985,12,2
"M_022_A_II",3.098512268066429,1985,12,3
"M_022_A_II",3.789186096191429,1985,12,4
"M_022_A_II",3.9159408569336165,1985,12,5
"M_022_A_II",4.122949218750023,1985,12,6
"M_022_A_II",4.1640182495117415,1985,12,7
"M_022_A_II",3.4051910400390852,1985,12,8
"M_022_A_II",4.921441650390648,1985,12,9
"M_022_A_II",5.803125000000023,1985,12,10
"M_022_A_II",5.858331298828148,1985,12,11
"M_022_A_II",5.455041503906272,1985,12,12
"M_022_A_II",5.1906906127929915,1985,12,13
"M_022_A_II",4.979158020019554,1985,12,14
"M_022_A_II",4.723916625976585,1985,12,15
"M_022_A_II",5.813272094726585,1985,12,16
"M_022_A_II",6.7076889038086165,1985,12,17
"M_022_A_II",9.189027404785179,1985,12,18
"M_022_A_II",8.478479003906273,1985,12,19
"M_022_A_II",8.277421569824241,1985,12,20
"M_022_A_II",8.276040649414085,1985,12,21
"M_022_A_II",6.6956344604492415,1985,12,22
"M_022_A_II",6.639375305175804,1985,12,23
"M_022_A_II",8.089746093750023,1985,12,24
"M_022_A_II",6.641206359863304,1985,12,25
"M_022_A_II",5.571130371093773,1985,12,26
"M_022_A_II",5.100366210937523,1985,12,27
"M_022_A_II",4.8540512084961165,1985,12,28
"M_022_A_II",4.348504638671898,1985,12,29
"M_022_A_II",2.7731262207031477,1985,12,30
"M_022_A_II",4.9323593139648665,1985,12,31
"M_022_A_II",6.220819091796898,1986,1,1
"M_022_A_II",7.1110702514648665,1986,1,2
"M_022_A_II",7.588815307617209,1986,1,3
"M_022_A_II",8.251908874511741,1986,1,4
"M_022_A_II",8.015565490722679,1986,1,5
"M_022_A_II",7.544274902343773,1986,1,6
"M_022_A_II",6.1240097045898665,1986,1,7
"M_022_A_II",5.999963378906272,1986,1,8
"M_022_A_II",8.196794128417991,1986,1,9
"M_022_A_II",7.137544250488303,1986,1,10
"M_022_A_II",6.477243041992209,1986,1,11
"M_022_A_II",6.802430725097679,1986,1,12
"M_022_A_II",7.049722290039085,1986,1,13
"M_022_A_II",6.94660339355471,1986,1,14
"M_022_A_II",9.109613037109398,1986,1,15
"M_022_A_II",7.2895370483398665,1986,1,16
"M_022_A_II",8.25086364746096,1986,1,17
"M_022_A_II",8.411431884765648,1986,1,18
"M_022_A_II",7.767137145996116,1986,1,19
"M_022_A_II",9.148210144042991,1986,1,20
"M_022_A_II",8.940713500976585,1986,1,21
"M_022_A_II",7.542573547363304,1986,1,22
"M_022_A_II",7.15796813964846,1986,1,23
"M_022_A_II",10.893548583984398,1986,1,24
"M_022_A_II",10.476235961914085,1986,1,25
"M_022_A_II",9.446199035644554,1986,1,26
"M_022_A_II",7.968995666503928,1986,1,27
"M_022_A_II",7.72413024902346,1986,1,28
"M_022_A_II",5.9091354370117415,1986,1,29
"M_022_A_II",4.645669555664085,1986,1,30
"M_022_A_II",6.098146057128928,1986,1,31
"M_022_A_II",6.8905807495117415,1986,2,1
"M_022_A_II",7.084436035156273,1986,2,2
"M_022_A_II",8.800531005859398,1986,2,3
"M_022_A_II",7.844934082031272,1986,2,4
"M_022_A_II",6.613191223144554,1986,2,5
"M_022_A_II",5.781457519531273,1986,2,6
"M_022_A_II",6.401284790039084,1986,2,7
"M_022_A_II",5.1433883666992415,1986,2,8
"M_022_A_II",3.684815979003929,1986,2,9
"M_022_A_II",4.612939453125023,1986,2,10
"M_022_A_II",4.832063293457054,1986,2,11
"M_022_A_II",5.268899536132835,1986,2,12
"M_022_A_II",4.739434814453148,1986,2,13
"M_022_A_II",3.1584335327148665,1986,2,14
"M_022_A_II",3.0710922241211165,1986,2,15
"M_022_A_II",2.9892822265625227,1986,2,16
"M_022_A_II",3.4405761718750227,1986,2,17
"M_022_A_II",2.9005676269531477,1986,2,18
"M_022_A_II",1.8702255249023665,1986,2,19
"M_022_A_II",3.5711761474609602,1986,2,20
"M_022_A_II",5.713746643066429,1986,2,21
"M_022_A_II",5.161965942382835,1986,2,22
"M_022_A_II",4.043969726562523,1986,2,23
"M_022_A_II",4.608186340332054,1986,2,24
"M_022_A_II",3.061097717285179,1986,2,25
"M_022_A_II",2.5111633300781477,1986,2,26
"M_022_A_II",2.0457015991211165,1986,2,27
"M_022_A_II",2.9347625732422102,1986,2,28
"M_022_A_II",3.834870910644554,1986,3,1
"M_022_A_II",2.5034118652343977,1986,3,2
"M_022_A_II",2.0923553466797102,1986,3,3
"M_022_A_II",2.5922943115234602,1986,3,4
"M_022_A_II",3.0577331542968977,1986,3,5
"M_022_A_II",4.464723205566429,1986,3,6
"M_022_A_II",2.8061462402343977,1986,3,7
"M_022_A_II",2.8838745117187727,1986,3,8
"M_022_A_II",2.2720886230468977,1986,3,9
"M_022_A_II",1.9765106201172102,1986,3,10
"M_022_A_II",2.6758361816406477,1986,3,11
"M_022_A_II",4.230249023437523,1986,3,12
"M_022_A_II",3.4379974365234602,1986,3,13
"M_022_A_II",4.643090820312523,1986,3,14
"M_022_A_II",4.299165344238304,1986,3,15
"M_022_A_II",2.269776916503929,1986,3,16
"M_022_A_II",1.269136047363304,1986,3,17
"M_022_A_II",2.5141387939453352,1986,3,18
"M_022_A_II",5.037660217285179,1986,3,19
"M_022_A_II",4.983613586425804,1986,3,20
"M_022_A_II",5.112100219726585,1986,3,21
"M_022_A_II",5.1566329956054915,1986,3,22
"M_022_A_II",5.182412719726585,1986,3,23
"M_022_A_II",4.683526611328148,1986,3,24
"M_022_A_II",3.5733505249023665,1986,3,25
"M_022_A_II",2.753724670410179,1986,3,26
"M_022_A_II",2.296662902832054,1986,3,27
"M_022_A_II",1.3983856201172105,1986,3,28
"M_022_A_II",1.9555831909179915,1986,3,29
"M_022_A_II",2.8270431518554915,1986,3,30
"M_022_A_II",4.0648361206054915,1986,3,31
"M_022_A_II",2.7290740966797102,1986,4,1
"M_022_A_II",-0.5275100708007585,1986,4,2
"M_022_A_II",1.0426193237304915,1986,4,3
"M_022_A_II",1.3185211181640852,1986,4,4
"M_022_A_II",1.9023910522461165,1986,4,5
"M_022_A_II",4.47614440917971,1986,4,6
"M_022_A_II",3.120210266113304,1986,4,7
