"ID_CIDERH","REGION","FECHA_RBE","TEMP_MAX_RBE","LAT_Y","LON_X"
"M_001_AH","I","2006-09-18",15.56,-20.678125,-68.707308
"M_001_AH","I","2006-09-19",12.45,-20.678125,-68.707308
"M_001_AH","I","2006-09-20",12.95,-20.678125,-68.707308
"M_001_AH","I","2006-09-21",11.77,-20.678125,-68.707308
"M_001_AH","I","2006-09-22",10.74,-20.678125,-68.707308
"M_001_AH","I","2006-09-23",14.98,-20.678125,-68.707308
"M_001_AH","I","2006-09-24",16.28,-20.678125,-68.707308
"M_001_AH","I","2006-09-25",17.65,-20.678125,-68.707308
"M_001_AH","I","2006-09-26",15.47,-20.678125,-68.707308
"M_001_AH","I","2006-09-27",13.5,-20.678125,-68.707308
"M_001_AH","I","2006-09-28",14.08,-20.678125,-68.707308
"M_001_AH","I","2006-09-29",12.63,-20.678125,-68.707308
"M_001_AH","I","2006-09-30",12.42,-20.678125,-68.707308
"M_001_AH","I","2006-10-01",16.92,-20.678125,-68.707308
"M_001_AH","I","2006-10-02",17.21,-20.678125,-68.707308
"M_001_AH","I","2006-10-03",16.06,-20.678125,-68.707308
"M_001_AH","I","2006-10-04",13.78,-20.678125,-68.707308
"M_001_AH","I","2006-10-05",16.2,-20.678125,-68.707308
"M_001_AH","I","2006-10-06",14.4,-20.678125,-68.707308
"M_001_AH","I","2006-10-07",15.8,-20.678125,-68.707308
"M_001_AH","I","2006-10-08",16.06,-20.678125,-68.707308
"M_001_AH","I","2006-10-09",17.84,-20.678125,-68.707308
"M_001_AH","I","2006-10-10",14.47,-20.678125,-68.707308
"M_001_AH","I","2006-10-11",15.75,-20.678125,-68.707308
"M_001_AH","I","2006-10-12",13.4,-20.678125,-68.707308
"M_001_AH","I","2006-10-13",14.54,-20.678125,-68.707308
"M_001_AH","I","2006-10-14",12.39,-20.678125,-68.707308
"M_001_AH","I","2006-10-15",14.34,-20.678125,-68.707308
"M_001_AH","I","2006-10-16",14.14,-20.678125,-68.707308
"M_001_AH","I","2006-10-17",12.78,-20.678125,-68.707308
"M_001_AH","I","2006-10-18",12.81,-20.678125,-68.707308
"M_001_AH","I","2006-10-19",16.34,-20.678125,-68.707308
"M_001_AH","I","2006-10-20",18.57,-20.678125,-68.707308
"M_001_AH","I","2006-10-21",19.08,-20.678125,-68.707308
"M_001_AH","I","2006-10-22",17.98,-20.678125,-68.707308
"M_001_AH","I","2006-11-23",14.61,-20.678125,-68.707308
"M_001_AH","I","2006-11-24",15.08,-20.678125,-68.707308
"M_001_AH","I","2006-11-25",18.52,-20.678125,-68.707308
"M_001_AH","I","2006-11-26",17.42,-20.678125,-68.707308
"M_001_AH","I","2006-11-27",16.03,-20.678125,-68.707308
"M_001_AH","I","2006-11-28",17.46,-20.678125,-68.707308
"M_001_AH","I","2006-12-01",18.45,-20.678125,-68.707308
"M_001_AH","I","2006-12-02",19.03,-20.678125,-68.707308
"M_001_AH","I","2006-12-03",20.41,-20.678125,-68.707308
"M_001_AH","I","2006-12-04",19.82,-20.678125,-68.707308
"M_001_AH","I","2006-12-05",21.88,-20.678125,-68.707308
"M_001_AH","I","2006-12-06",20.98,-20.678125,-68.707308
"M_001_AH","I","2006-12-07",19.61,-20.678125,-68.707308
"M_001_AH","I","2006-12-08",18.26,-20.678125,-68.707308
"M_001_AH","I","2006-12-09",15.9,-20.678125,-68.707308
"M_001_AH","I","2006-12-10",16.27,-20.678125,-68.707308
"M_001_AH","I","2006-12-11",16.63,-20.678125,-68.707308
"M_001_AH","I","2006-12-12",16.47,-20.678125,-68.707308
"M_001_AH","I","2006-12-13",17,-20.678125,-68.707308
"M_001_AH","I","2006-12-14",20.19,-20.678125,-68.707308
"M_001_AH","I","2006-12-15",21.98,-20.678125,-68.707308
"M_001_AH","I","2006-12-16",20.8,-20.678125,-68.707308
"M_001_AH","I","2006-12-17",18.61,-20.678125,-68.707308
"M_001_AH","I","2006-12-18",18.86,-20.678125,-68.707308
"M_001_AH","I","2006-12-19",17.92,-20.678125,-68.707308
"M_001_AH","I","2006-12-20",17.74,-20.678125,-68.707308
"M_001_AH","I","2006-12-21",18.98,-20.678125,-68.707308
"M_001_AH","I","2006-12-22",18.8,-20.678125,-68.707308
"M_001_AH","I","2006-12-23",17.54,-20.678125,-68.707308
"M_001_AH","I","2006-12-24",17.07,-20.678125,-68.707308
"M_001_AH","I","2006-12-25",18.71,-20.678125,-68.707308
"M_001_AH","I","2006-12-26",19.47,-20.678125,-68.707308
"M_001_AH","I","2006-12-27",20.05,-20.678125,-68.707308
"M_001_AH","I","2006-12-28",20.18,-20.678125,-68.707308
"M_001_AH","I","2006-12-29",19.86,-20.678125,-68.707308
"M_001_AH","I","2006-12-30",18.21,-20.678125,-68.707308
"M_001_AH","I","2007-01-01",17.33,-20.678125,-68.707308
"M_001_AH","I","2007-01-02",14.54,-20.678125,-68.707308
"M_001_AH","I","2007-01-03",15.96,-20.678125,-68.707308
"M_001_AH","I","2007-01-04",18.6,-20.678125,-68.707308
"M_001_AH","I","2007-01-05",18.95,-20.678125,-68.707308
"M_001_AH","I","2007-01-06",16.5,-20.678125,-68.707308
"M_001_AH","I","2007-01-07",16.37,-20.678125,-68.707308
"M_001_AH","I","2007-01-08",18.18,-20.678125,-68.707308
"M_001_AH","I","2007-01-09",15.88,-20.678125,-68.707308
"M_001_AH","I","2007-01-10",15.86,-20.678125,-68.707308
"M_001_AH","I","2007-01-11",17.56,-20.678125,-68.707308
"M_001_AH","I","2007-01-12",14.2,-20.678125,-68.707308
"M_001_AH","I","2007-01-13",13.95,-20.678125,-68.707308
"M_001_AH","I","2007-01-14",14.08,-20.678125,-68.707308
"M_001_AH","I","2007-01-16",16.68,-20.678125,-68.707308
"M_001_AH","I","2007-01-17",16.56,-20.678125,-68.707308
"M_001_AH","I","2007-01-23",18.39,-20.678125,-68.707308
"M_001_AH","I","2007-01-24",17.28,-20.678125,-68.707308
"M_001_AH","I","2007-01-25",16.81,-20.678125,-68.707308
"M_001_AH","I","2007-01-26",18.67,-20.678125,-68.707308
"M_001_AH","I","2007-01-27",18.79,-20.678125,-68.707308
"M_001_AH","I","2007-01-28",17.06,-20.678125,-68.707308
"M_001_AH","I","2007-01-29",15.44,-20.678125,-68.707308
"M_001_AH","I","2007-01-30",17.44,-20.678125,-68.707308
"M_001_AH","I","2007-01-31",16.54,-20.678125,-68.707308
"M_001_AH","I","2007-02-01",18.22,-20.678125,-68.707308
"M_001_AH","I","2007-02-02",18.81,-20.678125,-68.707308
"M_001_AH","I","2007-02-03",17.94,-20.678125,-68.707308
"M_001_AH","I","2007-02-04",19.26,-20.678125,-68.707308
"M_001_AH","I","2007-02-05",18.44,-20.678125,-68.707308
"M_001_AH","I","2007-02-06",17.91,-20.678125,-68.707308
"M_001_AH","I","2007-02-07",18.56,-20.678125,-68.707308
"M_001_AH","I","2007-02-08",18.57,-20.678125,-68.707308
"M_001_AH","I","2007-02-09",16.76,-20.678125,-68.707308
"M_001_AH","I","2007-02-10",17.81,-20.678125,-68.707308
"M_001_AH","I","2007-02-11",15.87,-20.678125,-68.707308
"M_001_AH","I","2007-02-13",15.97,-20.678125,-68.707308
"M_001_AH","I","2007-02-14",16.36,-20.678125,-68.707308
"M_001_AH","I","2007-02-15",14.54,-20.678125,-68.707308
"M_001_AH","I","2007-02-16",11.5,-20.678125,-68.707308
"M_001_AH","I","2007-02-17",11.88,-20.678125,-68.707308
"M_001_AH","I","2007-02-18",13.66,-20.678125,-68.707308
"M_001_AH","I","2007-02-19",13.67,-20.678125,-68.707308
"M_001_AH","I","2007-02-20",16,-20.678125,-68.707308
"M_001_AH","I","2007-02-21",17.15,-20.678125,-68.707308
"M_001_AH","I","2007-02-22",18.96,-20.678125,-68.707308
"M_001_AH","I","2007-02-23",19.42,-20.678125,-68.707308
"M_001_AH","I","2007-02-24",18.15,-20.678125,-68.707308
"M_001_AH","I","2007-02-25",18.93,-20.678125,-68.707308
"M_001_AH","I","2007-02-26",16.62,-20.678125,-68.707308
"M_001_AH","I","2007-02-27",18.38,-20.678125,-68.707308
"M_001_AH","I","2007-02-28",17.99,-20.678125,-68.707308
"M_001_AH","I","2007-03-01",17.4,-20.678125,-68.707308
"M_001_AH","I","2007-03-02",18.61,-20.678125,-68.707308
"M_001_AH","I","2007-03-03",16.96,-20.678125,-68.707308
"M_001_AH","I","2007-03-04",15.26,-20.678125,-68.707308
"M_001_AH","I","2007-03-05",15.28,-20.678125,-68.707308
"M_001_AH","I","2007-03-06",16,-20.678125,-68.707308
"M_001_AH","I","2007-03-07",15.26,-20.678125,-68.707308
"M_001_AH","I","2007-03-08",17.55,-20.678125,-68.707308
"M_001_AH","I","2007-03-09",16.65,-20.678125,-68.707308
"M_001_AH","I","2007-03-10",15.27,-20.678125,-68.707308
"M_001_AH","I","2007-03-11",16.32,-20.678125,-68.707308
"M_001_AH","I","2007-03-12",16.64,-20.678125,-68.707308
"M_001_AH","I","2007-03-16",18.13,-20.678125,-68.707308
"M_001_AH","I","2007-03-17",18.15,-20.678125,-68.707308
"M_001_AH","I","2007-03-18",18.09,-20.678125,-68.707308
"M_001_AH","I","2007-03-19",17.72,-20.678125,-68.707308
"M_001_AH","I","2007-03-20",16.98,-20.678125,-68.707308
"M_001_AH","I","2007-03-21",16.83,-20.678125,-68.707308
"M_001_AH","I","2007-03-22",16.59,-20.678125,-68.707308
"M_001_AH","I","2007-03-23",17.86,-20.678125,-68.707308
"M_001_AH","I","2007-03-24",18.56,-20.678125,-68.707308
"M_001_AH","I","2007-03-25",18.12,-20.678125,-68.707308
"M_001_AH","I","2007-03-26",18.34,-20.678125,-68.707308
"M_001_AH","I","2007-03-27",17.73,-20.678125,-68.707308
"M_001_AH","I","2007-03-28",17.59,-20.678125,-68.707308
"M_001_AH","I","2007-03-29",16.56,-20.678125,-68.707308
"M_001_AH","I","2007-03-30",14.71,-20.678125,-68.707308
"M_001_AH","I","2007-03-31",17.18,-20.678125,-68.707308
"M_001_AH","I","2007-04-01",17.81,-20.678125,-68.707308
"M_001_AH","I","2007-04-02",15.69,-20.678125,-68.707308
"M_001_AH","I","2007-04-03",15.49,-20.678125,-68.707308
"M_001_AH","I","2007-04-04",15.9,-20.678125,-68.707308
"M_001_AH","I","2007-04-05",15.34,-20.678125,-68.707308
"M_001_AH","I","2007-04-06",16.7,-20.678125,-68.707308
"M_001_AH","I","2007-04-07",17.58,-20.678125,-68.707308
"M_001_AH","I","2007-04-08",17.4,-20.678125,-68.707308
"M_001_AH","I","2007-04-09",17.6,-20.678125,-68.707308
"M_001_AH","I","2007-04-10",15.64,-20.678125,-68.707308
"M_001_AH","I","2007-04-11",14.43,-20.678125,-68.707308
"M_001_AH","I","2007-04-12",16.33,-20.678125,-68.707308
"M_001_AH","I","2007-04-13",15.27,-20.678125,-68.707308
"M_001_AH","I","2007-04-14",16.99,-20.678125,-68.707308
"M_001_AH","I","2007-04-15",19.73,-20.678125,-68.707308
"M_001_AH","I","2007-04-16",20.31,-20.678125,-68.707308
"M_001_AH","I","2007-04-17",20.71,-20.678125,-68.707308
