"ID_CIDERH","PP_RBE","Anio","Mes","Dia"
"M_030_A_XV",0,1982,6,11
"M_030_A_XV",0,1982,6,12
"M_030_A_XV",0,1982,6,13
"M_030_A_XV",0,1982,6,14
"M_030_A_XV",0,1982,6,15
"M_030_A_XV",0,1982,6,16
"M_030_A_XV",0,1982,6,17
"M_030_A_XV",0.024573026224970818,1982,6,18
"M_030_A_XV",0,1982,6,19
"M_030_A_XV",0,1982,6,20
"M_030_A_XV",0,1982,6,21
"M_030_A_XV",0,1982,6,22
"M_030_A_XV",0,1982,6,23
"M_030_A_XV",0,1982,6,24
"M_030_A_XV",0,1982,6,25
"M_030_A_XV",0,1982,6,26
"M_030_A_XV",0,1982,6,27
"M_030_A_XV",0,1982,6,28
"M_030_A_XV",0,1982,6,29
"M_030_A_XV",0,1982,6,30
"M_030_A_XV",0,1982,7,1
"M_030_A_XV",0,1982,7,2
"M_030_A_XV",0.019235163927078247,1982,7,3
"M_030_A_XV",1.0229071602225304,1982,7,4
"M_030_A_XV",0.933454214129597,1982,7,5
"M_030_A_XV",0.02211572416126728,1982,7,6
"M_030_A_XV",0,1982,7,7
"M_030_A_XV",0,1982,7,8
"M_030_A_XV",0,1982,7,9
"M_030_A_XV",0,1982,7,10
"M_030_A_XV",0,1982,7,11
"M_030_A_XV",0,1982,7,12
"M_030_A_XV",0,1982,7,13
"M_030_A_XV",0,1982,7,14
"M_030_A_XV",0,1982,7,15
"M_030_A_XV",0,1982,7,16
"M_030_A_XV",0,1982,7,17
"M_030_A_XV",0,1982,7,18
"M_030_A_XV",0,1982,7,19
"M_030_A_XV",0,1982,7,20
"M_030_A_XV",0,1982,7,21
"M_030_A_XV",0,1982,7,22
"M_030_A_XV",0,1982,7,23
"M_030_A_XV",0,1982,7,24
"M_030_A_XV",0,1982,7,25
"M_030_A_XV",0,1982,7,26
"M_030_A_XV",0.005471191368997097,1982,7,27
"M_030_A_XV",0,1982,7,28
"M_030_A_XV",0,1982,7,29
"M_030_A_XV",0,1982,7,30
"M_030_A_XV",0,1982,7,31
"M_030_A_XV",0.5169802308082581,1982,8,1
"M_030_A_XV",0.839685931801796,1982,8,2
"M_030_A_XV",0,1982,8,3
"M_030_A_XV",0,1982,8,4
"M_030_A_XV",0,1982,8,5
"M_030_A_XV",0.4826192781329155,1982,8,6
"M_030_A_XV",0.017757704481482506,1982,8,7
"M_030_A_XV",0,1982,8,8
"M_030_A_XV",0,1982,8,9
"M_030_A_XV",0.0024573025293648243,1982,8,10
"M_030_A_XV",0,1982,8,11
"M_030_A_XV",0.09962539747357368,1982,8,12
"M_030_A_XV",0.28125709295272827,1982,8,13
"M_030_A_XV",0.627222815528512,1982,8,14
"M_030_A_XV",3.35678169131279,1982,8,15
"M_030_A_XV",1.625099491328001,1982,8,16
"M_030_A_XV",0.5335585884749889,1982,8,17
"M_030_A_XV",0.05897526070475578,1982,8,18
"M_030_A_XV",0.09310492128133774,1982,8,19
"M_030_A_XV",0.10812131501734257,1982,8,20
"M_030_A_XV",0.024573026224970818,1982,8,21
"M_030_A_XV",0.09041666984558105,1982,8,22
"M_030_A_XV",0,1982,8,23
"M_030_A_XV",0,1982,8,24
"M_030_A_XV",0,1982,8,25
"M_030_A_XV",0,1982,8,26
"M_030_A_XV",0,1982,8,27
"M_030_A_XV",0,1982,8,28
"M_030_A_XV",0,1982,8,29
"M_030_A_XV",0.8596252258867025,1982,8,30
"M_030_A_XV",1.350312601774931,1982,8,31
"M_030_A_XV",1.9273265302181244,1982,9,1
"M_030_A_XV",0.5412891898304224,1982,9,2
"M_030_A_XV",1.5574546959251165,1982,9,3
"M_030_A_XV",2.192378159612417,1982,9,4
"M_030_A_XV",3.6978217363357544,1982,9,5
"M_030_A_XV",4.289672251790762,1982,9,6
"M_030_A_XV",2.6013049334287643,1982,9,7
